p_station,long,lat,incidentdate,passengers,maincategory,injuredpersons,county,constituency
PANGANI POLICE STATION,36.8360283,-1.2699695,2011-12-16T00:00:00Z,13,BOTH,0,Nairobi,Starehe
CHANGAMWE POLICE STATION,39.6265878,-4.025462699999999,2012-02-08T00:00:00Z,51,INJURY,3,NA,NA
THIKA POLICE STATION,37.0754725,-1.03806,2012-02-25T00:00:00Z,14,INJURY,1,Kiambu,Thika Town
BURU BURU POLICE DIVISION HQ,103.845113,1.3845704,2012-02-25T00:00:00Z,26,NON INJURY,0,NA,NA
KILIMANI POLICE STATION,36.7952424,-1.2914363,2012-03-03T00:00:00Z,33,NON INJURY,0,Nairobi,Dagoretti North
BAMBURI POLICE STATION,39.71387730000001,-4.0016118,2012-01-19T00:00:00Z,14,NON INJURY,0,NA,NA
CENTRAL POLICE STATION-NAIROBI,36.8182285,-1.2794229,2012-01-27T00:00:00Z,51,INJURY,1,Nairobi,Starehe
CHANGAMWE POLICE STATION,39.6265878,-4.025462699999999,2012-02-28T00:00:00Z,13,NON INJURY,0,NA,NA
NANYUKI POLICE STATION,37.08302219999999,0.0180665,2012-03-03T00:00:00Z,14,INJURY,1,NA,NA
PANGANI POLICE STATION,36.8360283,-1.2699695,2012-02-22T00:00:00Z,51,NON INJURY,0,Nairobi,Starehe
CENTRAL POLICE STATION-NAIROBI,36.8182285,-1.2794229,2012-02-05T00:00:00Z,14,INJURY,1,Nairobi,Starehe
WANGURU  POLICE STATION,37.377044,-0.6939027,2012-03-02T00:00:00Z,46,INJURY,0,NA,NA
KASARANI POLICE STATION,36.8932931,-1.2195671,2012-02-04T00:00:00Z,50,NON INJURY,0,Nairobi,Kasarani
KIKUYU POLICE STATION,36.6636128,-1.2433244,2012-02-26T00:00:00Z,14,INJURY,1,Kiambu,Kikuyu
CENTRAL POLICE STATION-NAIROBI,36.8182285,-1.2794229,2012-02-26T00:00:00Z,45,INJURY,1,Nairobi,Starehe
KASARANI POLICE STATION,36.8932931,-1.2195671,2012-02-17T00:00:00Z,14,NON INJURY,0,Nairobi,Kasarani
INDUSTRIAL AREA POLICE STATION,36.8341528,-1.3006638,2012-02-25T00:00:00Z,14,NON INJURY,0,Nairobi,Starehe
PARKLANDS POLICE STATION,36.8121049,-1.2652424,2012-01-14T00:00:00Z,14,NON INJURY,0,Nairobi,Westlands
CENTRAL POLICE STATION-NAIROBI,36.8182285,-1.2794229,2012-02-08T00:00:00Z,14,NON INJURY,0,Nairobi,Starehe
CENTRAL POLICE STATION-NAIROBI,36.8182285,-1.2794229,2012-02-07T00:00:00Z,37,NON INJURY,0,Nairobi,Starehe
CENTRAL POLICE STATION-NAIROBI,36.8182285,-1.2794229,2012-02-10T00:00:00Z,14,NON INJURY,0,Nairobi,Starehe
CENTRAL POLICE STATION-NAIROBI,36.8182285,-1.2794229,2012-02-10T00:00:00Z,37,INJURY,1,Nairobi,Starehe
MUTHANGARI POLICE STATION,36.7727649,-1.2663719,2012-02-21T00:00:00Z,14,NON INJURY,0,Nairobi,Dagoretti North
CENTRAL POLICE STATION-NAIROBI,36.8182285,-1.2794229,2012-02-03T00:00:00Z,25,NON INJURY,0,Nairobi,Starehe
CENTRAL POLICE STATION-NAIROBI,36.8182285,-1.2794229,2012-02-02T00:00:00Z,26,INJURY,1,Nairobi,Starehe
CENTRAL POLICE STATION-NAIROBI,36.8182285,-1.2794229,2012-02-04T00:00:00Z,14,NON INJURY,0,Nairobi,Starehe
MAKONGENI POLICE STATION,36.8505311,-1.2947258,2012-02-22T00:00:00Z,51,NON INJURY,0,Nairobi,Makadara
PANGANI POLICE STATION,36.8360283,-1.2699695,2012-03-05T00:00:00Z,51,INJURY,3,Nairobi,Starehe
KEROKA POLICE STATION,34.947449400000004,-0.7782036,2012-02-21T00:00:00Z,66,NON INJURY,0,NA,NA
KILIFI POLICE STATION,39.8552461,-3.6341898,2012-01-09T00:00:00Z,13,INJURY,0,NA,NA
DIANI POLICE STATION,39.5671508,-4.2827877,2012-02-27T00:00:00Z,37,INJURY,3,NA,NA
CENTRAL POLICE STATION-NAIROBI,36.8182285,-1.2794229,2012-02-12T00:00:00Z,14,INJURY,1,Nairobi,Starehe
CENTRAL POLICE STATION-NAIROBI,36.8182285,-1.2794229,2012-02-29T00:00:00Z,46,NON INJURY,0,Nairobi,Starehe
SAGANA POLICE STATION,37.2176074,-0.6638580000000001,2012-03-02T00:00:00Z,14,INJURY,0,NA,NA
MAKONGENI POLICE STATION,36.8505311,-1.2947258,2012-02-27T00:00:00Z,25,NON INJURY,0,Nairobi,Makadara
PANGANI POLICE STATION,36.8360283,-1.2699695,2012-02-29T00:00:00Z,29,INJURY,1,Nairobi,Starehe
BURU BURU POLICE DIVISION HQ,103.845113,1.3845704,2012-02-26T00:00:00Z,46,NON INJURY,0,NA,NA
GITHUNGURI POLICE STATION,36.7772511,-1.0577522,2012-02-18T00:00:00Z,14,INJURY,1,Kiambu,Githunguri
CENTRAL POLICE STATION-NAIROBI,36.8182285,-1.2794229,2012-02-24T00:00:00Z,50,INJURY,1,Nairobi,Starehe
CENTRAL POLICE STATION-NAIROBI,36.8182285,-1.2794229,2012-02-12T00:00:00Z,14,NON INJURY,0,Nairobi,Starehe
CENTRAL POLICE STATION-NAIROBI,36.8182285,-1.2794229,2012-02-12T00:00:00Z,25,NON INJURY,0,Nairobi,Starehe
KILIMANI POLICE STATION,36.7952424,-1.2914363,2012-02-01T00:00:00Z,46,NON INJURY,0,Nairobi,Dagoretti North
KILIMANI POLICE STATION,36.7952424,-1.2914363,2012-02-04T00:00:00Z,51,NON INJURY,0,Nairobi,Dagoretti North
KILIMANI POLICE STATION,36.7952424,-1.2914363,2012-02-05T00:00:00Z,51,NON INJURY,0,Nairobi,Dagoretti North
KILIMANI POLICE STATION,36.7952424,-1.2914363,2012-02-06T00:00:00Z,14,NON INJURY,0,Nairobi,Dagoretti North
KILIMANI POLICE STATION,36.7952424,-1.2914363,2012-02-04T00:00:00Z,29,NON INJURY,0,Nairobi,Dagoretti North
LANGATA POLICE STATION,36.7420212,-1.3651286,2011-12-17T00:00:00Z,14,NON INJURY,0,Nairobi,Langata
MAKONGENI POLICE STATION,36.8505311,-1.2947258,2012-02-25T00:00:00Z,14,INJURY,1,Nairobi,Makadara
MAKONGENI POLICE STATION,36.8505311,-1.2947258,2012-02-25T00:00:00Z,14,NON INJURY,0,Nairobi,Makadara
INDUSTRIAL AREA POLICE STATION,36.8341528,-1.3006638,2012-03-03T00:00:00Z,13,INJURY,2,Nairobi,Starehe
PANGANI POLICE STATION,36.8360283,-1.2699695,2011-12-09T00:00:00Z,51,NON INJURY,0,Nairobi,Starehe
PANGANI POLICE STATION,36.8360283,-1.2699695,2011-12-10T00:00:00Z,40,NON INJURY,0,Nairobi,Starehe
PANGANI POLICE STATION,36.8360283,-1.2699695,2012-02-27T00:00:00Z,51,NON INJURY,0,Nairobi,Starehe
CENTRAL POLICE STATION-NAIROBI,36.8182285,-1.2794229,2012-02-18T00:00:00Z,14,NON INJURY,0,Nairobi,Starehe
KILIMANI POLICE STATION,36.7952424,-1.2914363,2012-02-02T00:00:00Z,51,NON INJURY,0,Nairobi,Dagoretti North
CENTRAL POLICE STATION-NAIROBI,36.8182285,-1.2794229,2012-02-18T00:00:00Z,14,NON INJURY,0,Nairobi,Starehe
KILIMANI POLICE STATION,36.7952424,-1.2914363,2012-02-05T00:00:00Z,14,NON INJURY,0,Nairobi,Dagoretti North
KABETE POLICE STATION,36.7262163,-1.2624066,2012-02-12T00:00:00Z,33,NON INJURY,0,Nairobi,Westlands
KABETE POLICE STATION,36.7262163,-1.2624066,2012-02-16T00:00:00Z,14,NON INJURY,0,Nairobi,Westlands
MUTHANGARI POLICE STATION,36.7727649,-1.2663719,2012-02-27T00:00:00Z,13,NON INJURY,0,Nairobi,Dagoretti North
MUTHANGARI POLICE STATION,36.7727649,-1.2663719,2012-02-25T00:00:00Z,14,NON INJURY,0,Nairobi,Dagoretti North
PANGANI POLICE STATION,36.8360283,-1.2699695,2011-11-19T00:00:00Z,51,NON INJURY,0,Nairobi,Starehe
BURU BURU POLICE STATION,36.879342,-1.279412,2012-02-18T00:00:00Z,25,NON INJURY,0,Nairobi,Embakasi West
PANGANI POLICE STATION,36.8360283,-1.2699695,2012-03-07T00:00:00Z,46,NON INJURY,0,Nairobi,Starehe
BURU BURU POLICE STATION,36.879342,-1.279412,2012-02-15T00:00:00Z,46,NON INJURY,0,Nairobi,Embakasi West
KASARANI POLICE STATION,36.8932931,-1.2195671,2012-03-06T00:00:00Z,14,INJURY,1,Nairobi,Kasarani
NAIROBI AREA  POLICE STATION,36.80772,-1.29727,2012-03-06T00:00:00Z,37,NON INJURY,0,Nairobi,Kibra
CENTRAL POLICE STATION-NAIROBI,36.8182285,-1.2794229,2012-02-13T00:00:00Z,51,NON INJURY,0,Nairobi,Starehe
CENTRAL POLICE STATION-NAIROBI,36.8182285,-1.2794229,2012-02-15T00:00:00Z,29,NON INJURY,0,Nairobi,Starehe
BURU BURU POLICE STATION,36.879342,-1.279412,2012-02-17T00:00:00Z,14,NON INJURY,0,Nairobi,Embakasi West
PANGANI POLICE STATION,36.8360283,-1.2699695,2011-12-09T00:00:00Z,14,NON INJURY,0,Nairobi,Starehe
PANGANI POLICE STATION,36.8360283,-1.2699695,2011-12-05T00:00:00Z,25,NON INJURY,0,Nairobi,Starehe
KILIMANI POLICE STATION,36.7952424,-1.2914363,2012-01-14T00:00:00Z,14,NON INJURY,0,Nairobi,Dagoretti North
KILIMANI POLICE STATION,36.7952424,-1.2914363,2012-01-13T00:00:00Z,14,NON INJURY,0,Nairobi,Dagoretti North
KILIMANI POLICE STATION,36.7952424,-1.2914363,2012-01-10T00:00:00Z,14,NON INJURY,0,Nairobi,Dagoretti North
CENTRAL POLICE STATION-NAIROBI,36.8182285,-1.2794229,2012-02-24T00:00:00Z,14,NON INJURY,0,Nairobi,Starehe
CENTRAL POLICE STATION-NAIROBI,36.8182285,-1.2794229,2012-02-24T00:00:00Z,14,NON INJURY,0,Nairobi,Starehe
CENTRAL POLICE STATION-NAIROBI,36.8182285,-1.2794229,2012-02-22T00:00:00Z,14,NON INJURY,0,Nairobi,Starehe
CENTRAL POLICE STATION-NAIROBI,36.8182285,-1.2794229,2012-02-22T00:00:00Z,29,NON INJURY,0,Nairobi,Starehe
CENTRAL POLICE STATION-NAIROBI,36.8182285,-1.2794229,2012-02-20T00:00:00Z,14,NON INJURY,0,Nairobi,Starehe
INDUSTRIAL AREA POLICE STATION,36.8341528,-1.3006638,2012-02-24T00:00:00Z,14,NON INJURY,0,Nairobi,Starehe
EMBAKASI POLICE STATION,36.9132142,-1.3096785,2012-03-02T00:00:00Z,14,NON INJURY,0,Nairobi,Embakasi East
EMBAKASI POLICE STATION,36.9132142,-1.3096785,2012-02-22T00:00:00Z,50,NON INJURY,0,Nairobi,Embakasi East
INDUSTRIAL AREA POLICE STATION,36.8341528,-1.3006638,2011-12-27T00:00:00Z,14,NON INJURY,0,Nairobi,Starehe
KILIMANI POLICE STATION,36.7952424,-1.2914363,2012-03-05T00:00:00Z,14,INJURY,1,Nairobi,Dagoretti North
INDUSTRIAL AREA POLICE STATION,36.8341528,-1.3006638,2012-03-02T00:00:00Z,14,NON INJURY,0,Nairobi,Starehe
PANGANI POLICE STATION,36.8360283,-1.2699695,2011-12-09T00:00:00Z,14,NON INJURY,0,Nairobi,Starehe
EMBAKASI POLICE STATION,36.9132142,-1.3096785,2012-02-27T00:00:00Z,51,NON INJURY,0,Nairobi,Embakasi East
INDUSTRIAL AREA POLICE STATION,36.8341528,-1.3006638,2012-03-01T00:00:00Z,14,NON INJURY,0,Nairobi,Starehe
PANGANI POLICE STATION,36.8360283,-1.2699695,2011-12-10T00:00:00Z,14,NON INJURY,0,Nairobi,Starehe
CENTRAL POLICE STATION-NAIROBI,36.8182285,-1.2794229,2012-02-20T00:00:00Z,14,NON INJURY,0,Nairobi,Starehe
CENTRAL POLICE STATION-NAIROBI,36.8182285,-1.2794229,2012-02-21T00:00:00Z,51,NON INJURY,0,Nairobi,Starehe
PANGANI POLICE STATION,36.8360283,-1.2699695,2011-12-08T00:00:00Z,14,NON INJURY,0,Nairobi,Starehe
KILIMANI POLICE STATION,36.7952424,-1.2914363,2012-01-14T00:00:00Z,14,NON INJURY,0,Nairobi,Dagoretti North
KILIMANI POLICE STATION,36.7952424,-1.2914363,2012-01-13T00:00:00Z,14,NON INJURY,0,Nairobi,Dagoretti North
CENTRAL POLICE STATION-NAIROBI,36.8182285,-1.2794229,2012-02-24T00:00:00Z,14,NON INJURY,0,Nairobi,Starehe
CENTRAL POLICE STATION-NAIROBI,36.8182285,-1.2794229,2012-02-23T00:00:00Z,14,NON INJURY,0,Nairobi,Starehe
NAMANGA POLICE STATION,36.9464916,-1.4602644,2012-02-24T00:00:00Z,0,NON INJURY,0,Kajiado,Kajiado East
CENTRAL POLICE STATION-NAIROBI,36.8182285,-1.2794229,2012-02-21T00:00:00Z,37,NON INJURY,0,Nairobi,Starehe
CENTRAL POLICE STATION-NAIROBI,36.8182285,-1.2794229,2012-02-22T00:00:00Z,51,NON INJURY,0,Nairobi,Starehe
BURU BURU POLICE STATION,36.879342,-1.279412,2012-03-05T00:00:00Z,36,NON INJURY,0,Nairobi,Embakasi West
PARKLANDS POLICE STATION,36.8121049,-1.2652424,2012-01-13T00:00:00Z,33,NON INJURY,0,Nairobi,Westlands
BURU BURU POLICE STATION,36.879342,-1.279412,2012-02-15T00:00:00Z,14,INJURY,1,Nairobi,Embakasi West
CENTRAL POLICE STATION-MOMBASA,39.6755206,-4.0617792,2012-03-03T00:00:00Z,13,NON INJURY,0,NA,NA
PANGANI POLICE STATION,36.8360283,-1.2699695,2011-11-10T00:00:00Z,51,NON INJURY,0,Nairobi,Starehe
EMBAKASI POLICE STATION,36.9132142,-1.3096785,2012-02-29T00:00:00Z,14,INJURY,1,Nairobi,Embakasi East
BURU BURU POLICE STATION,36.879342,-1.279412,2012-02-17T00:00:00Z,51,NON INJURY,0,Nairobi,Embakasi West
KASARANI POLICE STATION,36.8932931,-1.2195671,2012-02-26T00:00:00Z,14,INJURY,5,Nairobi,Kasarani
ONGATA RONGAI POLICE POST,36.7571639,-1.3968388,2012-02-28T00:00:00Z,14,NON INJURY,0,Kajiado,Kajiado North
LANGATA POLICE STATION,36.7420212,-1.3651286,2012-02-01T00:00:00Z,14,NON INJURY,0,Nairobi,Langata
ONGATA RONGAI POLICE POST,36.7571639,-1.3968388,2012-02-24T00:00:00Z,14,NON INJURY,0,Kajiado,Kajiado North
INDUSTRIAL AREA POLICE STATION,36.8341528,-1.3006638,2012-02-29T00:00:00Z,14,INJURY,1,Nairobi,Starehe
EMBAKASI POLICE STATION,36.9132142,-1.3096785,2012-02-19T00:00:00Z,14,NON INJURY,0,Nairobi,Embakasi East
EMBAKASI POLICE STATION,36.9132142,-1.3096785,2012-02-22T00:00:00Z,14,NON INJURY,0,Nairobi,Embakasi East
PANGANI POLICE STATION,36.8360283,-1.2699695,2011-12-08T00:00:00Z,51,NON INJURY,0,Nairobi,Starehe
PANGANI POLICE STATION,36.8360283,-1.2699695,2011-12-07T00:00:00Z,29,NON INJURY,0,Nairobi,Starehe
PANGANI POLICE STATION,36.8360283,-1.2699695,2011-12-05T00:00:00Z,51,NON INJURY,0,Nairobi,Starehe
KILIMANI POLICE STATION,36.7952424,-1.2914363,2012-01-13T00:00:00Z,14,NON INJURY,0,Nairobi,Dagoretti North
KILIMANI POLICE STATION,36.7952424,-1.2914363,2012-01-11T00:00:00Z,37,NON INJURY,0,Nairobi,Dagoretti North
CENTRAL POLICE STATION-NAIROBI,36.8182285,-1.2794229,2012-02-25T00:00:00Z,29,NON INJURY,0,Nairobi,Starehe
CENTRAL POLICE STATION-NAIROBI,36.8182285,-1.2794229,2012-02-24T00:00:00Z,14,NON INJURY,0,Nairobi,Starehe
CENTRAL POLICE STATION-NAIROBI,36.8182285,-1.2794229,2012-02-23T00:00:00Z,14,NON INJURY,0,Nairobi,Starehe
MAKONGENI POLICE STATION,36.8505311,-1.2947258,2012-03-06T00:00:00Z,51,NON INJURY,0,Nairobi,Makadara
CENTRAL POLICE STATION-NAIROBI,36.8182285,-1.2794229,2012-02-22T00:00:00Z,14,NON INJURY,0,Nairobi,Starehe
CENTRAL POLICE STATION-NAIROBI,36.8182285,-1.2794229,2012-02-21T00:00:00Z,68,NON INJURY,0,Nairobi,Starehe
ONGATA RONGAI POLICE POST,36.7571639,-1.3968388,2012-02-22T00:00:00Z,51,NON INJURY,0,Kajiado,Kajiado North
ONGATA RONGAI POLICE POST,36.7571639,-1.3968388,2012-02-25T00:00:00Z,14,NON INJURY,0,Kajiado,Kajiado North
KILIMANI POLICE STATION,36.7952424,-1.2914363,2012-03-05T00:00:00Z,14,INJURY,1,Nairobi,Dagoretti North
CENTRAL POLICE STATION-NAIROBI,36.8182285,-1.2794229,2012-03-02T00:00:00Z,14,INJURY,1,Nairobi,Starehe
EMBAKASI POLICE STATION,36.9132142,-1.3096785,2012-01-21T00:00:00Z,51,INJURY,1,Nairobi,Embakasi East
EMBAKASI POLICE STATION,36.9132142,-1.3096785,2012-01-15T00:00:00Z,29,NON INJURY,0,Nairobi,Embakasi East
INDUSTRIAL AREA POLICE STATION,36.8341528,-1.3006638,2012-02-14T00:00:00Z,51,NON INJURY,0,Nairobi,Starehe
NAKURU POLICE STATION HQ,36.1537013,-0.2891843,2012-02-20T00:00:00Z,67,NON INJURY,0,NA,NA
TIGONI POLICE STATION,36.6735756,-1.1272436,2012-03-05T00:00:00Z,33,INJURY,1,Kiambu,Limuru
KABETE POLICE STATION,36.7262163,-1.2624066,2012-01-18T00:00:00Z,14,NON INJURY,0,Nairobi,Westlands
CENTRAL POLICE STATION-NAIROBI,36.8182285,-1.2794229,2012-02-21T00:00:00Z,14,NON INJURY,0,Nairobi,Starehe
CENTRAL POLICE STATION-NAIROBI,36.8182285,-1.2794229,2012-02-21T00:00:00Z,14,NON INJURY,0,Nairobi,Starehe
MWINGI POLICE STATION,38.06127550000001,-0.9321472000000001,2012-02-17T00:00:00Z,14,INJURY,9,NA,NA
MAKINDU POLICE POST,37.8233141,-2.2809927,2012-03-03T00:00:00Z,45,INJURY,1,NA,NA
CENTRAL POLICE STATION-NAIROBI,36.8182285,-1.2794229,2012-02-29T00:00:00Z,25,NON INJURY,0,Nairobi,Starehe
SAGANA POLICE STATION,37.2176074,-0.6638580000000001,2012-03-03T00:00:00Z,14,INJURY,1,NA,NA
KIKUYU POLICE STATION,36.6636128,-1.2433244,2012-02-28T00:00:00Z,14,NON INJURY,0,Kiambu,Kikuyu
PANGANI POLICE STATION,36.8360283,-1.2699695,2012-03-03T00:00:00Z,40,INJURY,1,Nairobi,Starehe
GATUNDU POLICE STATION,36.9018625,-1.0109663,2012-03-01T00:00:00Z,14,INJURY,1,Kiambu,Gatundu South
NAKURU POLICE STATION HQ,36.1537013,-0.2891843,2012-02-21T00:00:00Z,14,INJURY,2,NA,NA
ONGATA RONGAI POLICE POST,36.7571639,-1.3968388,2012-03-01T00:00:00Z,14,NON INJURY,0,Kajiado,Kajiado North
INDUSTRIAL AREA POLICE STATION,36.8341528,-1.3006638,2012-02-24T00:00:00Z,29,NON INJURY,0,Nairobi,Starehe
LANGATA POLICE DIVISION HQ,36.7818749,-1.3321385,2012-02-26T00:00:00Z,14,INJURY,1,Nairobi,Langata
PARKLANDS POLICE STATION,36.8121049,-1.2652424,2012-02-08T00:00:00Z,14,INJURY,1,Nairobi,Westlands
KAYOLE POLICE STATION,36.9261067,-1.2644254,2012-03-03T00:00:00Z,36,NON INJURY,0,Nairobi,Embakasi Central
ONGATA RONGAI POLICE POST,36.7571639,-1.3968388,2012-03-06T00:00:00Z,14,NON INJURY,0,Kajiado,Kajiado North
PANGANI POLICE STATION,36.8360283,-1.2699695,2011-12-09T00:00:00Z,46,NON INJURY,0,Nairobi,Starehe
CENTRAL POLICE STATION-NAIROBI,36.8182285,-1.2794229,2012-02-20T00:00:00Z,51,NON INJURY,0,Nairobi,Starehe
KILIMANI DIVISIONAL HQ,36.80772,-1.29727,2012-01-08T00:00:00Z,14,NON INJURY,0,Nairobi,Kibra
CENTRAL POLICE STATION-NAIROBI,36.8182285,-1.2794229,2012-02-22T00:00:00Z,14,NON INJURY,0,Nairobi,Starehe
PANGANI POLICE STATION,36.8360283,-1.2699695,2012-03-05T00:00:00Z,14,INJURY,1,Nairobi,Starehe
KILIMANI DIVISIONAL HQ,36.80772,-1.29727,2012-01-10T00:00:00Z,33,NON INJURY,0,Nairobi,Kibra
KILIMANI DIVISIONAL HQ,36.80772,-1.29727,2012-01-13T00:00:00Z,46,NON INJURY,0,Nairobi,Kibra
PANGANI POLICE STATION,36.8360283,-1.2699695,2012-02-29T00:00:00Z,14,INJURY,3,Nairobi,Starehe
INDUSTRIAL AREA POLICE STATION,36.8341528,-1.3006638,2012-02-29T00:00:00Z,14,NON INJURY,0,Nairobi,Starehe
KABETE POLICE STATION,36.7262163,-1.2624066,2012-03-04T00:00:00Z,14,NON INJURY,0,Nairobi,Westlands
PANGANI POLICE STATION,36.8360283,-1.2699695,2011-12-05T00:00:00Z,41,NON INJURY,0,Nairobi,Starehe
PANGANI POLICE STATION,36.8360283,-1.2699695,2011-12-08T00:00:00Z,13,NON INJURY,0,Nairobi,Starehe
RUIRU POLICE STATION,36.9593125,-1.1449416,2012-03-03T00:00:00Z,14,INJURY,1,Kiambu,Ruiru
CENTRAL POLICE STATION-NAIROBI,36.8182285,-1.2794229,2012-02-26T00:00:00Z,14,NON INJURY,0,Nairobi,Starehe
PANGANI POLICE STATION,36.8360283,-1.2699695,2012-02-29T00:00:00Z,25,NON INJURY,0,Nairobi,Starehe
PANGANI POLICE STATION,36.8360283,-1.2699695,2012-02-28T00:00:00Z,14,NON INJURY,0,Nairobi,Starehe
PANGANI POLICE STATION,36.8360283,-1.2699695,2011-12-09T00:00:00Z,14,NON INJURY,0,Nairobi,Starehe
BURU BURU POLICE DIVISION HQ,103.845113,1.3845704,2012-02-16T00:00:00Z,14,NON INJURY,0,NA,NA
KASARANI POLICE DIVISION ( HQ),36.8940529,-1.2195529,2011-11-21T00:00:00Z,51,NON INJURY,0,Nairobi,Kasarani
BURU BURU POLICE DIVISION HQ,103.845113,1.3845704,2012-02-14T00:00:00Z,46,INJURY,1,NA,NA
CENTRAL POLICE STATION-MOMBASA,39.6755206,-4.0617792,2011-12-21T00:00:00Z,14,NON INJURY,0,NA,NA
INDUSTRIAL AREA POLICE STATION,36.8341528,-1.3006638,2012-03-03T00:00:00Z,14,NON INJURY,0,Nairobi,Starehe
THIKA POLICE STATION,37.0754725,-1.03806,2012-03-01T00:00:00Z,14,NON INJURY,0,Kiambu,Thika Town
INDUSTRIAL AREA POLICE STATION,36.8341528,-1.3006638,2012-02-28T00:00:00Z,14,NON INJURY,0,Nairobi,Starehe
CENTRAL POLICE STATION-NAIROBI,36.8182285,-1.2794229,2012-02-18T00:00:00Z,14,NON INJURY,0,Nairobi,Starehe
CENTRAL POLICE STATION-NAIROBI,36.8182285,-1.2794229,2012-02-26T00:00:00Z,14,NON INJURY,0,Nairobi,Starehe
CENTRAL POLICE STATION-NAIROBI,36.8182285,-1.2794229,2012-02-18T00:00:00Z,51,NON INJURY,0,Nairobi,Starehe
MAKONGENI POLICE STATION,36.8505311,-1.2947258,2012-02-25T00:00:00Z,14,INJURY,1,Nairobi,Makadara
EMBAKASI POLICE STATION,36.9132142,-1.3096785,2012-02-18T00:00:00Z,14,NON INJURY,0,Nairobi,Embakasi East
MAKONGENI POLICE STATION,36.8505311,-1.2947258,2012-02-26T00:00:00Z,51,NON INJURY,0,Nairobi,Makadara
CENTRAL POLICE STATION-NAIROBI,36.8182285,-1.2794229,2012-02-14T00:00:00Z,29,NON INJURY,0,Nairobi,Starehe
INDUSTRIAL AREA POLICE STATION,36.8341528,-1.3006638,2012-03-04T00:00:00Z,14,INJURY,1,Nairobi,Starehe
LANGATA POLICE DIVISION HQ,36.7818749,-1.3321385,2011-12-16T00:00:00Z,14,NON INJURY,0,Nairobi,Langata
NGONG POLICE STATION,36.6536602,-1.365681,2012-03-04T00:00:00Z,14,INJURY,1,Kajiado,Kajiado North
DONHOLM POLICE POST,36.8882322,-1.3009426,2012-03-03T00:00:00Z,14,NON INJURY,0,Nairobi,Embakasi East
KILIMANI DIVISIONAL HQ,36.80772,-1.29727,2012-02-06T00:00:00Z,14,NON INJURY,0,Nairobi,Kibra
CENTRAL POLICE STATION-NAIROBI,36.8182285,-1.2794229,2012-03-01T00:00:00Z,51,INJURY,1,Nairobi,Starehe
CENTRAL POLICE STATION-NAIROBI,36.8182285,-1.2794229,2012-02-15T00:00:00Z,33,NON INJURY,0,Nairobi,Starehe
CENTRAL POLICE STATION-NAIROBI,36.8182285,-1.2794229,2012-02-12T00:00:00Z,14,NON INJURY,0,Nairobi,Starehe
KABETE POLICE STATION,36.7262163,-1.2624066,2012-02-12T00:00:00Z,8,NON INJURY,0,Nairobi,Westlands
CENTRAL POLICE STATION-NAIROBI,36.8182285,-1.2794229,2012-02-18T00:00:00Z,14,NON INJURY,0,Nairobi,Starehe
CENTRAL POLICE STATION-NAIROBI,36.8182285,-1.2794229,2012-02-26T00:00:00Z,37,INJURY,3,Nairobi,Starehe
CENTRAL POLICE STATION-NAIROBI,36.8182285,-1.2794229,2012-01-14T00:00:00Z,14,NON INJURY,0,Nairobi,Starehe
KILIMANI DIVISIONAL HQ,36.80772,-1.29727,2012-02-02T00:00:00Z,14,NON INJURY,0,Nairobi,Kibra
PANGANI POLICE STATION,36.8360283,-1.2699695,2011-12-09T00:00:00Z,46,NON INJURY,0,Nairobi,Starehe
KILIMANI DIVISIONAL HQ,36.80772,-1.29727,2012-02-03T00:00:00Z,14,NON INJURY,0,Nairobi,Kibra
PANGANI POLICE STATION,36.8360283,-1.2699695,2011-12-09T00:00:00Z,14,NON INJURY,0,Nairobi,Starehe
KILIMANI POLICE STATION,36.7952424,-1.2914363,2012-01-09T00:00:00Z,29,NON INJURY,0,Nairobi,Dagoretti North
KILIMANI DIVISIONAL HQ,36.80772,-1.29727,2012-02-04T00:00:00Z,51,NON INJURY,0,Nairobi,Kibra
CENTRAL POLICE STATION-NAIROBI,36.8182285,-1.2794229,2012-02-11T00:00:00Z,29,NON INJURY,0,Nairobi,Starehe
NAKURU POLICE STATION HQ,36.1537013,-0.2891843,2012-02-15T00:00:00Z,14,NON INJURY,0,NA,NA
MERU POLICE STATION,37.6521474,0.04736240000000001,2012-03-04T00:00:00Z,14,NON INJURY,0,NA,NA
PANGANI POLICE STATION,36.8360283,-1.2699695,2011-12-05T00:00:00Z,25,NON INJURY,0,Nairobi,Starehe
ELDORET POLICE STATION HQ,35.23185710000001,0.5709396,2012-03-03T00:00:00Z,67,INJURY,4,NA,NA
CENTRAL POLICE STATION-MOMBASA,39.6755206,-4.0617792,2012-03-02T00:00:00Z,14,INJURY,1,NA,NA
CENTRAL POLICE STATION-MOMBASA,39.6755206,-4.0617792,2012-03-01T00:00:00Z,14,INJURY,1,NA,NA
KABETE POLICE STATION,36.7262163,-1.2624066,2012-03-04T00:00:00Z,29,NON INJURY,0,Nairobi,Westlands
GATUNDU POLICE STATION,36.9018625,-1.0109663,2012-03-07T00:00:00Z,14,INJURY,6,Kiambu,Gatundu South
MARIAKANI POLICE STATION,39.4692327,-3.8611178,2012-03-03T00:00:00Z,14,INJURY,0,NA,NA
PANGANI POLICE STATION,36.8360283,-1.2699695,2012-03-06T00:00:00Z,14,INJURY,5,Nairobi,Starehe
