"","DATE","DAY","TIME 24 HOURS","BASE/SUB BASE","COUNTY","ROAD","PLACE","TYPE OF VEHICLE","BRIEF ACCIDENT DETAILS","GENDER","AGE","CAUSE CODE","VICTIM","NO.","id"
"100",2017-06-09,"FRIDAY","1920","DAGORETI","NAIROBI","KIKUYU ROAD","MUTHAMA AREA","PSV","THE VEHICLE KNOCKED DOWN THE VICTIM","M","A",98,"PED",1,"268_20170501_20171231"
"101",2017-06-10,"SATURDAY","500","RUIRU","KIAMBU","RUIRU KIAMBU","FULL GOSPEL","PRIVATE","THE VEHICLE COLLIDED WITH THE M/CYCLE","F","A",8,"PIL",1,"272_20170501_20171231"
"102",2017-06-10,"SATURDAY","2200","ATHI RIVER","MACHAKOS","NAIROBI NAMANGA","SHALOM","COMMERCIAL & MOTOR CYCLE","THE VEHICLE KNOCKED DOWN THE VICTIM","M","A",52,"MCY",1,"276_20170501_20171231"
"103",2017-06-11,"SUNDAY","1100","MUTHANGARI","NAIROBI","MATHIORA ROAD","KAWANGWARE","PSV","THE VEHICLE KNOCKED DOWN THE VICTIM","M","A",98,"PED",1,"278_20170501_20171231"
"104",2017-06-11,"SUNDAY","1300","MATUU","MACHAKOS","MATUU THIKA ROAD","NYS AREA","COMMERCIAL & PRIVATE","HEAD ON COLLISION","F","29",10,"PAS",1,"280_20170501_20171231"
"105",2017-06-11,"SUNDAY","1900","MATUU","MACHAKOS","KANYONYO EMBU","KAGONDE AREA","PRIVATE","THE VEHICLE LOST CONTROL AND RAMMED INTO A TREE","M","34",21,"PAS",1,"283_20170501_20171231"
"106",2017-06-11,"SUNDAY","210","LIMURU","KIAMBU","LIMURU KWABIRA","OCEANLINE AREA","UNKNOWN","HIT AND RUN","M","30",98,"PED",1,"285_20170501_20171231"
"107",2017-06-11,"SUNDAY","UNKNOWN","JUJA","KIAMBU","THIKA SUPERHIGHWAY","NEAR CAPITAL CENTRE","UNKNOWN","HIT AND RUN","M","A",59,"PED",1,"286_20170501_20171231"
"108",2017-06-12,"MONDAY","1520","KABETE","NAIROBI","WAIYIAKI WAY","UTHIRU","GOVERNMENT","THE VEHICLE KNOCKED DOWN THE VICTIM","F","A",98,"PED",1,"288_20170501_20171231"
"109",2017-06-12,"MONDAY","UNKNOWN","JUJA","KIAMBU","THIKA SUPERHIGHWAY","CDF JUJA","UNKNOWN","HIT AND RUN","M","22",98,"PED",1,"290_20170501_20171231"
"110",2017-06-12,"MONDAY","200","ATHI RIVER","MACHAKOS","NAIROBI-MOMBASA","LIKENYA AREA","PRIVATE","HEAD ON COLLISION","M","A",10,"DRV",1,"292_20170501_20171231"
"111",2017-06-12,"MONDAY","200","ATHI RIVER","MACHAKOS","NAIROBI-MOMBASA","LIKENYA AREA","PRIVATE","HEAD ON COLLISION","M","A",10,"PAS",4,"293_20170501_20171231"
"112",2017-06-13,"TUESDAY","1530","GITHUNGURI","KIAMBU","GITHUNGRI-RUIRU","KWA NDONGA TRADING CENTER","COMMERCIAL","THE LORRY OVERAN THE VICTIM","M","34",70,"PAS",1,"297_20170501_20171231"
"113",2017-06-13,"TUESDAY","2130","KAYOLE","NAIROBI","SPINE ROAD","NEAR KAYOLE HOSPITAL","COMMERCIAL","THE VEHICLE KNOCKED DOWN THE VICTIM","M","34",98,"PED",1,"299_20170501_20171231"
"114",2017-06-14,"WEDNESDAY","1800","RUIRU","KIAMBU","NORTHERN BY PASS","KAMAE AREA","COMMERCIAL","THE VEHICLE LOST CONTROL AND OVERTURNED","F","38",26,"PED",1,"300_20170501_20171231"
"115",2017-06-14,"WEDNESDAY","1800","ATHI RIVER","MACHAKOS","NAIROBI MOMBASA","BRIDGE 39 AREA","COMMERCIAL","THE VEHICLE KNOCKED DOWN THE VICTIM","M","A",57,"PCY",1,"302_20170501_20171231"
"116",2017-06-15,"THURSDAY","500","KAYOLE","NAIROBI","SPINE ROAD","MAMA LUCY","UNKNOWN","HIT AND RUN","M","49",98,"PED",1,"305_20170501_20171231"
"117",2017-06-15,"THURSDAY","2300","STAREHE","NAIROBI","PARK ROAD","SHELL PETROL STATION","UNKNOWN","HIT AND RUN","M","35",98,"PED",1,"311_20170501_20171231"
"118",2017-06-16,"FRIDAY","30","KAREN","NAIROBI","KAREN ROAD","SHADE","PSV & MOTOR CYCLE","THE VEHICLE HIT THE CYCLE","M","20",36,"MCY",1,"313_20170501_20171231"
"119",2017-06-17,"SATURDAY","2230","TIGONI","KIAMBU","LIMURU KIAMBU ROAD","MUTISI JUCNTION","COMMERCIAL","THE M/V TOYOTA 110 FAILED TO GOVE WAY AND WAS HIT BY THE SAID TRIPPER LORRY AS ARESULT OF THE ACCIDENT THE DRIVER  OF 110 AND F/A/PASSENGER DIED ON THE SPOT","F","A",25,"PAS",1,"318_20170501_20171231"
"120",2017-06-17,"SATURDAY","2230","TIGONI","KIAMBU","LIMURU KIAMBU ROAD","MUTISI JUCNTION","PRIVATE & COMMERCIAL","THE M/V TOYOTA 110 FAILED TO GIVE WAY AND WAS HIT BY THE SAID TRIPPER LORRY AS ARESULT OF THE ACCIDENT THE DRIVER  OF 110 AND F/A/PASSENGER DIED ON THE SPOT","M","A",25,"DRV",1,"319_20170501_20171231"
"121",2017-06-18,"SUNDAY","2015","DAGORETI","NAIROBI","WAIYAKI WAY","UTHIRU SHOPPING CENTRE","PSV","THE VEHICLE KNOCKED DOWN THE VICTIM","M","59",98,"PED",1,"323_20170501_20171231"
"122",2017-06-19,"MONDAY","830","KIKUYU","NAIROBI","NAIROBI NAIVASHA","STAGE 87","PRIVATE","THE VEHICLE KNOCKED DOWN THE VICTIM","M","35",11,"PED",1,"328_20170501_20171231"
"123",2017-06-19,"MONDAY","1130","ATHI RIVER","MACHAKOS","MOMBASA ROAD","BRIDGE 39","PSV & COMMERCIAL","HEAD ON COLLISION","M","A",10,"DRV",1,"329_20170501_20171231"
"124",2017-06-19,"MONDAY","1130","ATHI RIVER","MACHAKOS","MOMBASA ROAD","BRIDGE 39","PSV & COMMERCIAL","HEAD ON COLLISION","M & F","A",10,"PAS",2,"330_20170501_20171231"
"125",2017-06-21,"WEDNESDAY","700","LANGATA","NAIROBI","LANGATA ROAD","CPC NURSERY","PRIVATE","THE VEHICLE KNOCKED DOWN THE VICTIM","M","J",10,"PED",1,"338_20170501_20171231"
"126",2017-06-21,"WEDNESDAY","930","KIKUYU","KIAMBU","NAIROBI NAIVASHA","ZAMBEZI","MOTOR CYCLE","THE CYCLE KNOCKED DOWN THE VICTIM","M","A",68,"PED",1,"339_20170501_20171231"
"127",2017-06-21,"WEDNESDAY","1400","EMBAKASI","NAIROBI","EMBAKASI ROAD","ACK CHURCH","PRIVATE","THE VEHICLE KNOCKED DOWN THE VICTIM","M","J",10,"PED",1,"341_20170501_20171231"
"128",2017-06-22,"THURSDAY","2100","DAGORETI","NAIROBI","WAIYAKI WAY","NEAR KANGEMI STAGE","PRIVATE","THE VEHICLE KNOCKED DOWN THE VICTIM","F","30",98,"PED",1,"349_20170501_20171231"
"129",2017-06-22,"THURSDAY","2200","CENTRAL","NAIROBI","NEW PUMWANI ROAD","KARIOKOR ROUND ABOUT","PSV & MOTOR CYCLE","THE VEHICLE KNOCKED DOWN THE VICTIM","M","30",98,"MCY",1,"350_20170501_20171231"
"130",2017-06-23,"FRIDAY","500","CENTRAL","NAIROBI","MURANGA ROAD","KAHAMA","PRIVATE","THE VEHICLE HIT A PAVEMENT","M","A",98,"DRV",1,"351_20170501_20171231"
"131",2017-06-23,"FRIDAY","30","STAREHE","NAIROBI","THIKA SUPERHIGHWAY","SURVEY AREA","COMMERCIAL & MOTOR CYCLE","THE CYCLE RAMMED INTO THE STATIONERY VEHICLE","M","A",26,"MCY",1,"352_20170501_20171231"
"132",2017-06-23,"FRIDAY","1730","ONGATA RONGAI","KAJIADO","MAGADI","MAASAI LODGE","COMMERCIAL","THE VEHICLE KNOCKED DOWN THE VICTIM","M","A",26,"PED",1,"354_20170501_20171231"
"133",2017-06-23,"FRIDAY","1430","MURANGA","MURANGA","MURANGA KAHURO","GATHAMBA","PSV & MOTOR CYCLE","THE MATATU COLLIDED HEAD ON WITH THE CYCLE","M","A",26,"MCY",1,"356_20170501_20171231"
"134",2017-06-24,"SATURDAY","1830","MACHAKOS","MACHAKOS","KATHIANI MACHAKOS","KANGWATANI AREA","MOTOR CYCLE","THE CYCLE KNOCKED DOWN THE VICTIM","F","53",98,"PED",1,"359_20170501_20171231"
"135",2017-06-26,"MONDAY","815","DTEO DAGORETTI","NAIROBI","WAIYAKI WAY","AT 87 AREA","PSV & MOTOR CYCLE","THE CYCLE LOST CONTROL AND WAS HIT BY THE MATATU","M","A",54,"MCY",1,"365_20170501_20171231"
"136",2017-06-26,"MONDAY","1300","KANDARA","MURANGA","THIKA GITHUMU ROAD","KIGUOYA MARKET","UNKNOWN","HIT AND RUN","M","11",26,"PED",1,"366_20170501_20171231"
"137",2017-06-27,"TUESDAY","550","EMBAKASI","NAIROBI","NORTH AIRPORT ROAD","TRANSAMI","UNKNOWN","HIT AND RUN","M","A",98,"PED",1,"368_20170501_20171231"
"138",2017-06-27,"TUESDAY","2000","ISINYA","KAJIADO","ISINYA KITENGELA","NEAR KENCHIC JUNCTION","UNKNOWN","HIT AND RUN","M","32",29,"PED",1,"371_20170501_20171231"
"139",2017-06-28,"WEDNESDAY","900","GVAIS","NAIROBI","UNIVERSITY WAY","NEAR UNIVERSITY GATE","GOVERNMENT","THE VEHICLE KNOCKED DOWN THE VICTIM","M","44",98,"PED",1,"372_20170501_20171231"
"140",2017-06-28,"WEDNESDAY","230","INDO AREA","NAIROBI","MOMBASA ROAD","NEAR AIRTEL INTERCHANGE","PRIVATE","THE VEHICLE KNOCKED DOWN THE VICTIM","M","A",98,"PED",1,"375_20170501_20171231"
"141",2017-06-30,"FRIDAY","820","STAREHE","NAIROBI","THIKA SUPERHIGHWAY","MUTHAIGA FOOTBRIDGE","UNKNOWN","HIT AND RUN","M","31",63,"PED",1,"381_20170501_20171231"
"142",2017-06-30,"FRIDAY","1500","DAGORETI","NAIROBI","WAIYAKI WAY","KANGEMI AREA","PRIVATE","THE VEHICLE KNOCKED DOWN THE VICTIM","M","A",26,"PED",1,"382_20170501_20171231"
"143",2017-07-01,"SATURDAY","500","KASARANI","NAIROBI","OUTERNG ROAD","NAIVAS SPERMARKET","UNKNOWN","HIT AND RUN","M","A",98,"MCY",1,"385_20170501_20171231"
"144",2017-07-01,"SATURDAY","2200","RUIRU","KIAMBU","EASTERN BYPASS","KAMAKIS","PRIVATE & COMMERCIAL","COLLIDED HEAD ON","F","A",10,"DRV",1,"386_20170501_20171231"
"145",2017-07-01,"SATURDAY","700","KAREN","NAIROBI","SOUTHERN","MUTUINE","PRIVATE","VEERED OFF THE HITTING GUARD RAILS ON THE ROAD SIDE","M","A",26,"DRV",1,"391_20170501_20171231"
"146",2017-07-02,"SUNDAY","1720","ATHI RIVER","MACHAKOS","NAIROBI-MOMBASA","SMALL WORLD","COMMERCIAL & PRIVATE","COLLIDED HEAD ON","M","46",8,"DRV",1,"394_20170501_20171231"
"147",2017-07-02,"SUNDAY","1720","ATHI RIVER","MACHAKOS","NAIROBI-MOMBASA","SMALL WORLD","COMMERCIAL & PRIVATE","COLLIDED HEAD ON","M&F","47 & 34",8,"PAS",2,"395_20170501_20171231"
"148",2017-07-02,"SUNDAY","2000","KIKUYU","KIAMBU","SOUTHERN BY -PASS","NEAR THOGOTO FLY-OVER","UNKNOWN","HIT AND RUN","M","33",98,"PED",1,"397_20170501_20171231"
"149",2017-07-03,"MONDAY","2130","MACHAKOS","MACHAKOS","MACHAKOS-KYUMBI","MIWANI","PRIVATE & MOTOR CYCLE","THE VEHICLE KNOCKED DOWN A M/CYCLIST","M","A",98,"MCY",1,"401_20170501_20171231"
"150",2017-07-03,"MONDAY","1730","KIAMBU","KIAMBU","BANANA-KIAMBU","NGEGU","PRIVATE","THE VEHICLE KNOCKED DOWN A VICTIM","M","A",68,"PED",1,"402_20170501_20171231"
"151",2017-07-04,"TUESDAY","430","RUIRU","KIAMBU","THIKA SUPER HIGHWAY","NEAR KU UNIVERSITY","PRIVATE & MOTOR CYCLE","THE VEHICLE HIT THE M/CYCLE","M","48",29,"MCY",1,"405_20170501_20171231"
"152",2017-07-05,"WEDNESDAY","2240","EMBAKASI","NAIROBI","NORTH AIRPORT ROAD","KOBIL","UNKNOWN","HIT AND RUN","M","A",98,"PED",1,"409_20170501_20171231"
"153",2017-07-07,"FRIDAY","1645","MACHAKOS","MACHAKOS","KAVIANI SAIKONI","DENMARK","MOTOR CYCLE","THE CYCLE KNOCKED DOWN THE VICTIM","F","3",10,"PED",1,"416_20170501_20171231"
"154",2017-07-08,"SATURDAY","700","STAREHE","NAIROBI","KIAMBU ROAD","NEAR MUTAIGA P/STATION","PRIVATE","THE VEHICLE KNOCKED DOWN THE VICTIM","M","32",63,"PED",1,"421_20170501_20171231"
"155",2017-07-08,"SATURDAY","1730","MAKONGENI","NAIROBI","JOGOO ROAD","NEAR MOGAS PETROL STATION","PSV","THE VEHICLE KNOCKED DOWN THE VICTIM","M","A",98,"PED",1,"424_20170501_20171231"
"156",2017-07-08,"SATURDAY","2040","INDO AREA","NAIROBI","LUNGALUNGA ROAD","NEAR KENOLY FACTORY","UNKNOWN","HIT AND RUN","M","A",98,"PED",1,"428_20170501_20171231"
"157",2017-07-08,"SATURDAY","2200","STAREHE","NAIROBI","OUTERING ROAD","NEAR KIAMAIKO","COMMERCIAL","THE VEHICLE KNOCKED DOWN THE VICTIM","M","A",98,"PED",1,"429_20170501_20171231"
"158",2017-07-09,"SUNDAY","2155","DAGORETTI","NAIROBI","WAIYAKI WAY","N MARKET","PSV","THE VEHICLE KNOCKED DOWN THE VICTIM","M","49",7,"PED",1,"434_20170501_20171231"
"159",2017-07-09,"SUNDAY","2145","DAGORETTI","NAIROBI","WAIYAKI WAY","WARUGU","PRIVATE","THE VEHICLE KNOCKED DOWN THE VICTIM","M","A",7,"PED",1,"435_20170501_20171231"
"160",2017-07-09,"SUNDAY","1350","LANGATA","NAIROBI","SOUTHERN BY PASS","KIBERA","UNKNOWN","HIT AND RUN","M","A",98,"PED",1,"440_20170501_20171231"
"161",2017-07-10,"MONDAY","2100","KIAMBU","KIAMBU","KIAMBU-RUIRU","NEAR KIU RIVER","PSV","THE VEHICLE KNOCKED DOWN A VICTIM","M","A",7,"PED",1,"442_20170501_20171231"
"162",2017-07-11,"TUESDAY","530","KILIMANI","NAIROBI","VALLEY ROAD","VALLEY ROAD FLY OVER","UNKNOWN","HIT AND RUN","F","A",98,"PED",1,"445_20170501_20171231"
"163",2017-07-11,"TUESDAY","1400","KISERIAN","KAJIADO","MAGADI ROAD","MAGADI","UNKNOWN","HIT AND RUN","M","A",98,"PED",1,"447_20170501_20171231"
"164",2017-07-12,"WEDNESDAY","600","KAYOLE","NAIROBI","KANGUNDO ROAD","NEAR SHELL PETROL STATION","COMMERCIAL","THE VEHICLE KNOCKED DOWN A VICTIM","F","20",60,"PED",1,"448_20170501_20171231"
"165",2017-07-12,"WEDNESDAY","20","ATHI RIVER","MACHAKOS","NAIROBI-MOMBASA","GREENPARK AREA","COMMERCIAL & PRIVATE","THE VEHICLES COLLIDED HEAD ON","M","25",8,"DRV",1,"454_20170501_20171231"
"166",2017-07-14,"FRIDAY","1830","MATUU","MACHAKOS","MATUU MWINGI","KAVENGE AREA","PRIVATE","THE VEHICLE GOT A TYRE BURST AND ROLLED","M","65",79,"PAS",1,"462_20170501_20171231"
"167",2017-07-14,"FRIDAY","200","DAGORETTI","NAIROBI","WAIYAKI WAY","SODOM AREA","PRIVATE","THE VEHICLE KNOCKED DOWN THE VICTIM","M","51",98,"PED",1,"463_20170501_20171231"
"168",2017-07-15,"SATURDAY","1700","KAYOLE","NAIROBI","KANGUNDO ROAD","NEAR SHUJAA SHOPPING CENTRE","COMMERCIAL","THE VEHICLE KNOCKED DOWN THE VICTIM","M","A",98,"PED",1,"466_20170501_20171231"
"169",2017-07-15,"SATURDAY","1730","CENTRAL","NAIROBI","UHURU HIGHWAY","OPPOSITE PARLIAMENT BUILDING","PRIVATE","THE VEHICLE KNOCKED DOWN THE VICTIM","M","36",63,"PED",1,"467_20170501_20171231"
"170",2017-07-15,"SATURDAY","2000","KAJIADO","KAJIADO","KAJIADO ISINYA","NEAR CHINA TILES FACTORY","PRIVATE","THE VEHICLE KNOCKED DOWN THE VICTIM","M","A",98,"PED",1,"468_20170501_20171231"
"171",2017-07-16,"SUNDAY","1900","LARI","KIAMBU","NAIROBI NAIVASHA","RAKUMA AREA","UNKNOWN","HIT AND RUN","M","26",60,"PED",1,"471_20170501_20171231"
"172",2017-07-16,"SUNDAY","30","EMBAKASI","NAIROBI","MOMBASA ROAD","IMARA DAIMA AREA","PRIVATE","THE VEHICLE KNOCKED DOWN THE VICTIM","M","A",98,"PED",1,"477_20170501_20171231"
"173",2017-07-17,"MONDAY","2030","MURANGA","MURANGA","MURANGA SAGAN","KABUTA","MOTOR CYCLE","THE CYCLE KNOCKED DOWN THE VICTIM","M","A",7,"PED",1,"478_20170501_20171231"
"174",2017-07-17,"MONDAY","1355","RUIRU","KIAMBU","THIKA SUPERHIGHWAY","GITHURAI","PSV","THE VEHICLE KNOCKED DOWN THE VICTIM","M","A",68,"PED",1,"479_20170501_20171231"
"175",2017-07-18,"TUESDAY","1530","THIKA","KIAMBU","THIKA NYERI","NGOIGWA AREA","COMMERCIAL","THE VEHICLE KNOCKED DOWN THE VICTIM","M","A",63,"PED",1,"483_20170501_20171231"
"176",2017-07-19,"WEDNESDAY","2000","GIGIRI","NAIROBI","GETA ROAD","MWAMUTO","PSV","THE VICTIM JUMPED OUT OF THE VEHICLE AND WAS RAN OVER","F","A",73,"PAS",1,"489_20170501_20171231"
"177",2017-07-19,"WEDNESDAY","1830","DAGORETI","NAIROBI","WAIYAKI WAY","UTHIRU","PSV","TH VEHICLE KNOCKED DOWN THE VICTIM","M","A",7,"PED",1,"491_20170501_20171231"
"178",2017-07-19,"WEDNESDAY","1600","ATHI RIVER","MACHAKOS","NAIROBI MOMBASA","SIMBA CEMENT","COMMERCIAL","THE VEHICLE KNOCKED DOWN THE VICTIM","M","A",98,"PED",1,"492_20170501_20171231"
"179",2017-07-20,"THURSDAY","1440","STAREHE","NAIROBI","FIRST AVENUE EASTLEIGH","NEAR MARIE STORES","COMMERCIAL","THE VEHICLE KNOCKED DOWN THE VICTIM","M","J",98,"PED",1,"497_20170501_20171231"
"180",2017-07-21,"FRIDAY","2330","ATHI RIVER","MACHAKOS","MOMBASA -NAIROBIU","MLOLONGO","PRIVATE","THE VEHICLE KNOCKED DOWN THE VICTIM","M","A",29,"PED",1,"502_20170501_20171231"
"181",2017-07-21,"FRIDAY","2100","KAJIADO","KAJIADO","NAMANGA-NAIROBI","DOLEGESHI","PRIVATE & COMMERCIAL","THE VEHICLE HIT THE CANTER","M","A",10,"DRV",1,"505_20170501_20171231"
"182",2017-07-21,"FRIDAY","2030","RUIRU","KIAMBU","THIKA SUPERHIGH WAY","WAKI STAGE","PRIVATE","THE VEHICLE HIT ANOTHER M/V","M","A",60,"PAS",1,"507_20170501_20171231"
"183",2017-07-21,"FRIDAY","1830","MUTHANGARI","NAIROBI","NAIVASHA ROAD","TRITON","PSV","THE PEDESTRIAN FELL DOWN WHILE HE WAS TRYING TO BOARD THE BUS","M","A",72,"PED",1,"509_20170501_20171231"
"184",2017-07-25,"TUESDAY","1710","MAKONGENI","NAIROBI","FIRST AVENUE","NEAR HESHIMA JUNCTION","PSV","THE VEHICLE KNOCKED DOWN THE VICTIM","F","25",68,"PED",1,"530_20170501_20171231"
"185",2017-07-26,"WEDNESDAY","1100","GIGIRI","NAIROBI","FIRST PARKLANDS AVENUE","AVENUE HOSPITAL","COMMERCIAL","THE VEHICLE KNOCKED DOWN THE VICTIM","M","A",NA,"PED",2,"535_20170501_20171231"
"186",2017-07-26,"WEDNESDAY","1810","BURUBURU","NAIROBI","OUTERING ROAD","DONHOLM SHELL PETROL STATION","PRIVATE","THE VEHICLE KNOCKED DOWN THE VICTIM","M","45",NA,"PED",1,"537_20170501_20171231"
"187",2017-07-27,"THURSDAY","1500","INDO AREA","NAIROBI","ENTERPRISE ROAD","NEAR KARATASI INDUSTRY","COMMERCIAL","THE LORRY LOST CONTROL, VEERING OFF THE ROAD AND ROLLED","M","A",98,"DRV",1,"542_20170501_20171231"
"188",2017-07-27,"THURSDAY","1130","CENTRAL","NAIROBI","KENYATTA AVENUE","NEAR SHELL PETROL STATION","PRIVATE","THE VEHICLE KNOCKED DOWN THE VICTIM","M","45",98,"PED",1,"547_20170501_20171231"
"189",2017-07-28,"FRIDAY","630","KIKUYU","KIAMBU","KIKUYU-WANGIGE ROAD","GITARU SLIP","COMMERCIAL & PSV","THE CANTER BRAKES FAILED AND HIT THE MATATU","M","A",68,"PAS",1,"551_20170501_20171231"
"190",2017-07-28,"FRIDAY","20","DAGORETTI","NAIROBI","KABIRIA ROAD","SATELITE","MOTOR CYCLE & PRIVATE","HEAD ON COLLISION","M","28",8,"MCY",1,"552_20170501_20171231"
"191",2017-07-28,"FRIDAY","1750","THIKA BASE","KIAMBU","NGOIGWA-THIKA ROAD","THIKA FLY OVER","MOTOR CYCLE & COMMERCIAL","THE M/CYCLE RAMMED INTO THE RARE OF THE LORRY","M","A",10,"MCY",1,"555_20170501_20171231"
"192",2017-07-29,"SATURDAY","600","KAYOLE","NAIROBI","SPINE ROAD","KAYOLE JUNCTION","PSV & MOTOR CYCLE","THE VEHICLE COLLIDED HEAD ON WITH THE MOTOR CYCLE","M","A",29,"MCY",1,"556_20170501_20171231"
"193",2017-07-29,"SATURDAY","2050","RUIRU","KIAMBU","THIKA SUPER HIGHWAY","CLAYWORKS AREA","PSV","THE VEHICE KNOCKED DOWN A VICTIO\M","M","A",60,"PED",1,"563_20170501_20171231"
"194",2017-07-30,"SUNDAY","UNKNOWN TIME","MURANGA","MURANGA","KAHAGAINI","MURANGA KANGEMA","UNKNOWN","HIT AND RUN","M","42",98,"PED",1,"566_20170501_20171231"
"195",2017-07-31,"MONDAY","630","LANGATA","NAIROBI","LANGATA ROAD","SHELL PETROL STATION","PRIVATE","THE VEHICLE KNOCKED DOWN THE VICTIM","M","45",26,"PED",1,"577_20170501_20171231"
"196",2017-08-02,"WEDNESDAY","600","DTEO LANGATA","NAIROBI","SOUTHERN BY-PASS","NEAR LANGATA NATIONAL HOUSING","PRIVATE","M/V KNOCKED DOWN A PEDESTRIAN WHILE CROSSING THE ROAD","F","41",98,"PED",1,"587_20170501_20171231"
"197",2017-08-02,"WEDNESDAY","1530","CENTRAL","NAIROBI","KOMBO MUNYIRI RD","NEAR BARCLAYS BANK","COMMERCIAL","HIT A PEDESTRIAN WHILE REVERSING","M","59",NA,"PED",1,"591_20170501_20171231"
"198",2017-08-03,"THURSDAY","320","RUIRU","KIAMBU","THIKA SUPER HIGHWAY","KWA KAIRO","PRIVATE","LOST CONTROL AND RAMMED INTO THE OTHER M/V","M","A",26,"DRV",1,"594_20170501_20171231"
"199",2017-08-03,"THURSDAY","320","RUIRU","KIAMBU","THIKA SUPER HIGHWAY","KWA KAIRO","PRIVATE","LOST CONTROL AND RAMMED INTO THE OTHER M/V","M","A",26,"PAS",2,"595_20170501_20171231"
"200",2017-08-03,"THURSDAY","2140","MATUU","MACHAKOS","MATUU-MWINGI","EKALAKALA","PRIVATE","KNOCKED DOWN A PEDESTRIAN","M","A",8,"PED",1,"596_20170501_20171231"
"201",2017-08-04,"FRIDAY","2120","DTEO CENTRAL","NAIROBI","TOM MBOYA STREET","NEAR WORLD BUSINESS CENTER","PSV","M/V HIT PEDESTRIANS CROSSING THE ROAD","F","35",10,"PED",1,"606_20170501_20171231"
"202",2017-08-05,"SATURDAY","630","EMBAKASI","NAIROBI","MOMBASA ROAD","NEAR JKIA","PRIVATE","M/V KNOCKED DOWN A PEDESTRIAN","M","39",98,"PED",1,"611_20170501_20171231"
"203",2017-08-06,"SUNDAY","2050","KIAMBU","KIAMBU","KIAMBU-TINGANGA","NDUMBERI","PSV","M/V HIT AND KNOCKED DOWN A PEDESTRIAN","M","A",7,"PED",1,"620_20170501_20171231"
"204",2017-08-06,"SUNDAY","1500","KAYOLE","NAIROBI","KANGUNDO ROAD","KOMAROCK","COMMERCIAL & MOTOR CYCLE","M/V HIT A M/CYCLE","M","A",10,"MCY",1,"621_20170501_20171231"
"205",2017-08-07,"MONDAY","545","DTEO EMBAKAZI","NAIROBI","EASTERN BY PASS","NEAR GSU TRAINING SCHOOL","PRIVATE & MOTOR CYCLE","THE PRADO HIT THE M/CYCLE","M","28",50,"MCY",1,"623_20170501_20171231"
"206",2017-08-07,"MONDAY","1830","DTEO STAREHE","NAIROBI","FIRST AVENUE","AT JUNCTION OF THIRD STREET EISTLEIGH","PSV","THE VEHICLE KNOCKED DOWN THE VICTIM","M","30",98,"PED",1,"626_20170501_20171231"
"207",2017-08-07,"MONDAY","2200","ISINYA","KAJIADO","ISINYA-KITENGELA","KENCHIC NEAR KENOL PETROL STATION","PSV","THE PASSENGER FELL DOWN WHILE THE VEHICLE WAS IN MOTION","M","27",70,"PAS",1,"628_20170501_20171231"
"208",2017-08-08,"TUESDAY","2300","LARI","KIAMBU","NAIVASHA-NAIROBI","NYAMBANE","PRIVATE & MOTOR CYCLE","THE VEHICLE HIT THE MOTOR CYCLE","M","A",29,"MCY",1,"631_20170501_20171231"
"209",2017-08-08,"TUESDAY","1830","INDO AREA","NAIROBI","UHURU HIGH WAY","BUNYALA ROUND ABOUT","PSV","THE VEHICLE LOST CONTROL AND ROLLED SEVERALLY","M","A",26,"DRV",1,"633_20170501_20171231"
"210",2017-08-09,"WEDNESDAY","810","MAKONGENI","NAIROBI","JOGOO","NEAR DC STAGE","PSV","THE PASSENGER FELL DOWN WHILE THE VEHICLE WAS IN MOTION","M","36",70,"PAS",1,"636_20170501_20171231"
"211",2017-08-09,"WEDNESDAY","900","MATUU","MACHAKOS","KIVAA-EMBU","NEAR KIVAA SECONDARY SCHOOL","UNKNOWN","HIT & RUN","M","42",98,"PED",1,"637_20170501_20171231"
"212",2017-08-09,"WEDNESDAY","2130","GITHUNGURI","KIAMBU",NA,"KWA MAIKO TRADING CENTRE","COMMERCIAL","THE VEHICLE KNOCKED DOWN THE VICTIM","M","31",38,"PED",1,"638_20170501_20171231"
"213",2017-08-11,"FRIDAY","430","JUJA","KIAMBU","NAIROBI THIKA","JUJA FLY OVER","COMMERCIAL","THE VEHICLE KNOCKED DOWN THE VICTIM","M","A",60,"PED",1,"640_20170501_20171231"
"214",2017-08-11,"FRIDAY","1900","DAGORETTI","NAIROBI","WAIYAKI WAY","MOUNTAIN VIEW","UNKNOWN","HIT AND RUN","M","A",NA,"PED",1,"641_20170501_20171231"
"215",2017-08-11,"FRIDAY","2000","ATHI RIVER","MACHAKOS",NA,NA,"PRIVATE & MOTOR CYCLE","THE VEHICLE KNOCKED DOWN THE VICTIM","J","J",8,"PIL",1,"642_20170501_20171231"
"216",2017-08-11,"FRIDAY","2230","KIKUYU","KIAMBU","THOGOTO GIKAMBURA","SOUTHERN BY PASS FLY OVER","PRIVATE","THE VEHICLE KNOCKED DOWN THE VICTIM","M","A",7,"PED",1,"643_20170501_20171231"
"217",2017-08-11,"FRIDAY","2330","RUIRU","KIAMBU","NAIROBI THIKA SERVICE LANE","KIHUNGURO SHELL PETROL STATION","UNKNOWN","HIT AND RUN","M","30",60,"PED",1,"644_20170501_20171231"
